,,,Sep-24,Aug-24,Jul-24,Jun-24,May-24,Apr-24,Mar-24,Feb-24,Jan-24,Dec-23,Nov-23,Oct-23,,,,,
Building,MeterNo,,Usage lbs of steam,Usage lbs of steam,Usage lbs of steam,Usage lbs of steam,Usage lbs of steam,Usage lbs of steam,Usage lbs of steam,Usage lbs of steam,Usage lbs of steam,Usage lbs of steam,Usage lbs of steam,Usage lbs of steam,,,,,
Spectrum,7001,,188349.63,175837.97,188216.35,201819.24,254298.24,420523.39,501457.67,670398.40,270591.72,262836.49,374283.56,336207.13,,,,,
HPER,7002,,496121.82,428632.85,301262.95,376176.62,551236.28,1241250.35,1754496.48,2184241.26,2533989.86,2360073.89,1954505.15,1633268.00,,,,,
Family Life,7003,,0.00,0.00,0.00,0.00,107670.00,196210.00,265330.00,254850.00,343760.00,323570.00,301520.00,194380.00,,,,,
Maeser,7004,,245638.00,217663.00,206800.00,222726.00,291209.00,381654.00,550546.00,623689.00,777253.00,730016.00,556323.00,361156.00,,,,,
TSC,7006,,198658.72,162076.85,187992.48,246323.48,407983.68,544894.87,673223.07,852632.56,938545.79,873548.39,605475.78,327486.90,,,,,
TSC,7005B,,566144.02,519812.54,646474.14,556977.72,573143.74,1474607.68,1647017.45,1934172.63,2236243.88,2113582.12,757386.37,779885.47,,,,,
FeildHouse,7007,,159976.93,158060.34,211974.85,66747.33,10082.93,54247.83,135994.56,132244.71,236657.20,198242.07,483480.66,283571.99,,,,,
Ind Science,7008,,78721.85,114020.44,106937.39,163476.79,175118.00,217807.95,281805.39,298738.05,373960.04,304321.16,277505.57,78680.19,,,,,
ECC,7009,,52247.91,22415.77,16915.99,21499.14,53997.84,96412.81,104329.16,152327.24,149744.01,147160.78,112578.83,73580.39,,,,,
INN,7010,,175992.96,157160.38,149327.36,147910.75,147494.10,189575.75,226990.92,227240.91,280988.76,338986.44,213408.13,243156.94,,,,,
Facilities,7013,,37165.18,58164.34,60247.59,58914.31,87913.15,131494.74,176242.95,183825.98,204908.47,182242.71,144244.23,142160.98,,,,,
NFS,7014,,198066.00,187462.00,197230.00,217776.00,281090.00,406083.00,538783.00,592998.00,694827.00,661046.00,553843.00,384210.00,,,,,
Business,7016,,305156.00,247710.00,199611.00,224554.00,291942.00,341397.00,378776.00,487426.00,598654.00,588734.00,480356.00,329775.00,,,,,
BNR,7017,,508887.98,476747.60,470389.52,459156.63,453498.53,675922.96,911980.19,1182811.02,1257866.35,1160145.26,929187.83,738753.78,,,,,
NR,7018,,35423.58,28465.53,28332.20,31265.42,49364.69,70738.84,114203.77,140227.72,280197.13,239132.10,157443.70,86846.53,,,,,
HSRC,M7019A.1,,44398.22,13407.80,14782.74,45489.85,73272.07,100812.63,134894.60,144935.87,177292.91,169226.56,154252.16,131719.73,,,,,
Eng New,7021,,124903.34,117095.32,106637.40,107220.71,137786.16,226065.96,276538.94,289405.09,352619.23,370010.20,301454.61,209541.62,,,,,
Eng lab,7022,,386734.53,344986.20,310820.90,311070.89,213074.81,443232.27,819300.56,706138.42,925962.96,910130.26,800884.63,648724.05,,,,,
Merrill,7026,,58814.31,38490.13,30798.77,30615.44,40148.39,160501.91,214308.09,225765.97,270147.53,236482.21,193733.92,137719.49,,,,,
FA Center,7027,,163293.47,94237.90,67413.97,98546.06,180642.77,290013.40,551777.93,519020.91,807417.70,965111.39,441774.00,262506.17,,,,,
FA Museum,7028,,169832.00,137763.00,120875.00,111901.00,125530.00,162358.00,152046.00,133610.00,199999.00,236842.00,185922.00,114998.00,,,,,
LLC,M7029A.1,,315770.70,268764.25,196350.48,232640.69,265072.73,425541.31,597276.11,687514.17,847932.75,788385.13,640807.70,458098.34,,,,,
FA Visual,7030,,194258.90,166501.67,152077.25,171026.49,228965.84,335319.92,577510.23,684939.27,795959.83,681614.40,565544.04,372768.42,,,,,
Richards,7031,,83005.01,60697.57,47856.42,41598.34,112112.18,266406.01,316737.33,338019.81,398400.73,366352.01,305954.43,206866.73,,,,,
SER,7032,,193250.60,184842.61,174734.68,174476.35,175309.65,228882.51,355410.78,382676.36,461198.22,451415.28,376584.94,282663.69,,,,,
Junction,7033,,207295.00,31360.00,24680.00,25720.00,348600.00,547120.00,625480.00,605240.00,658320.00,625000.00,613120.00,230600.00,,,,,
Bullen,7034,,58772.65,49048.04,47031.45,43789.92,56264.42,69522.22,135361.25,153868.85,206508.41,223774.38,197258.78,135977.89,,,,,
Old Main,7035,,180076.13,178067.88,170909.83,183550.99,239598.75,384934.60,601700.93,700321.99,911438.54,852599.23,659790.27,405383.78,,,,,
Forage Range,7036,,265472.71,221332.81,226315.95,282263.71,388384.46,599559.35,795268.19,847282.77,1029283.83,1000234.99,961194.88,631366.41,,,,,
Geology,7037,,173243.07,155743.77,105079.13,169493.22,222657.76,297988.08,390567.71,411733.53,482230.71,454815.14,408400.33,328570.19,,,,,
Ray B West,7038,,70888.83,33756.98,0.00,33923.64,107812.35,159185.30,299371.36,331095.09,372626.76,381368.08,272722.42,179134.50,,,,,
Biotech,7040,,221341.15,208058.34,196608.80,199600.35,178901.18,262856.15,442823.95,395634.17,479172.50,401975.59,333928.31,272372.44,,,,,
Education,7041,,89271.43,104787.48,106129.09,110603.91,118678.59,173968.04,233124.01,302512.90,332078.38,334111.64,223524.39,138094.48,,,,,
Sci Tech Lib,7043,,108245.67,115828.70,111078.89,113995.44,154160.50,214074.77,326653.60,382318.04,481897.39,432566.03,330986.76,210658.24,,,,,
Widtsoe,7045,,298143.00,274123.00,42368.00,51630.00,220640.00,393120.00,827340.00,949740.00,914188.43,898472.39,720279.52,589318.09,,,,,
Edith Bowen,7046,,113295.00,83256.00,69658.00,79680.00,126657.00,226360.00,301090.00,339208.00,406241.00,455275.00,408429.00,196234.00,,,,,
Forestry Science,7047,,31340.41,32940.35,33357.00,32990.35,36756.86,48823.05,61214.22,69847.21,79621.82,78163.54,68055.61,40665.04,,,,,
Uni Reserve,7048,,29637.00,28937.70,34965.00,37728.90,41991.30,56709.90,76856.40,84015.90,95471.10,82350.90,68964.30,51448.50,,,,,
Alumni,7049,,10791.24,10624.58,21315.81,28165.54,32765.36,40131.73,52606.23,58680.99,74897.00,71588.80,57431.04,33140.34,,,,,
Quinney Lawson,7050,,45448.18,35640.24,36331.88,54764.48,64489.09,89938.07,122578.43,131028.09,143185.94,135161.26,109337.29,75271.99,,,,,
Perf Hall,M7051A.1,,39848.41,34940.27,40415.05,46056.49,57897.68,75930.30,96771.13,106320.75,120028.53,148585.72,65480.71,34923.60,,,,,
MC Lib,7053,,193242.27,313654.12,222741.09,234323.96,170159.86,243740.25,305654.44,389567.75,441565.67,434149.30,394067.57,323820.38,,,,,
Eng Sant,7054,,79496.82,0.00,28998.84,153910.51,159410.29,176076.29,222241.11,269489.22,322487.10,281155.42,252323.24,243990.24,,,,,
Vet Science,7055,,234987.00,265812.00,354836.00,381925.00,414406.00,837272.00,1098514.00,1204635.00,1408017.00,1346155.00,1059322.00,831519.00,,,,,
Lillywhite,7056,,10214.00,9425.00,8818.00,5370.00,10026.00,26468.00,46770.00,59357.00,89462.00,89137.00,45999.00,22718.00,,,,,
Early Childhood,7057,,71408.00,42743.00,44256.00,91936.00,159766.00,194804.00,256264.00,278812.00,395867.00,361075.00,271404.00,160098.00,,,,,
Technology,7058,,6089.00,0.00,0.00,0.00,62467.00,149156.00,246914.00,281051.00,334715.00,316617.00,273425.00,155948.00,,,,,
AnimalSc,7059,,11183.00,936.00,0.00,7912.00,80715.00,156573.00,225576.00,265097.00,306586.00,304657.00,259009.00,207176.00,,,,,
AgSciene,7060,,669723.21,563178.00,151160.62,368401.93,370151.86,596309.48,876048.29,1031292.08,1357862.35,1297281.44,965461.38,785635.24,,,,,
RCDE,7061,,33.00,0.00,737.00,8005.00,32911.00,56112.00,109973.00,127509.00,163988.00,163495.00,140728.00,121264.00,,,,,
ARC,7062,,230023.00,199582.00,182357.00,174712.00,249445.00,341704.00,445384.00,485136.00,595155.00,733748.00,408684.00,219777.00,,,,,
Huntsman Business,7063,,83940.00,105230.00,132270.00,119470.00,134980.00,150790.00,270010.00,330700.00,407980.00,210780.00,345630.00,166120.00,,,,,
WW Lundberg,7064,,0.00,0.00,0.00,0.00,0.00,26557.27,85613.24,86746.53,94704.55,91771.33,74205.37,59139.30,,,,,
LLC/Parking Garage,7065,,0.00,0.00,0.00,0.00,0.00,0.00,4740.00,16010.00,32600.00,22670.00,15030.00,3030.00,,,,,
Clinical Services,7066,,112495.50,80830.10,74997.00,111662.20,299988.00,242490.30,422483.10,471647.80,611642.20,574143.70,391651.00,260822.90,,,,,
Central suites,7067,,94261.00,26810.00,174608.00,195158.00,175097.00,315915.00,427896.00,473301.00,565097.00,525794.00,443242.00,291892.00,,,,,
Life Science,7068,,199348.00,204232.00,152684.00,157412.00,246484.00,322876.00,412460.00,463384.00,641304.00,600900.00,441396.00,310044.00,,,,,
Canyon Crest,7069,,284226.00,242715.00,239751.00,238060.00,223625.00,347950.00,424858.00,457735.00,539478.00,528206.00,461307.00,348917.00,,,,,
